task_id,candidate_id,method,product_id,audience_segment,headline,body,cta,visual_prompt,model_calls,latency_ms,axis_strategy,relevance,clarity,aesthetic,audience_fit,brand_safety,factuality_penalty,diversity,predicted_engagement,reward,axis_emotional_style,axis_appeal_type,axis_layout,axis_color_direction,axis_cta_type,axis_caption_length,axis_pain_point,axis_generated_image_path
T0001,eb32881644d9,B0_Template,P001_01,students,Portable Espresso Maker Lite for everyday use,Discover a consumer electronics option with compact.,Learn more,Clean product photo of Portable Espresso Maker Lite on a simple background,0,1,fixed_template,0.48,0.92,0.55,0.35,1.0,0.0,1.0,0.6302,0.657,,,,,,,,
T0001,972a2b8368ca,B1_SingleShot_API,P001_01,students,Compact & Rechargeable Espresso,"Perfect for small spaces, quick & easy.",Shop Now,"Warm neutral tones, minimalist design, portable espresso maker in action",4,3354,,0.74,0.78,0.8,0.4583,0.78,0.04,0.9048,0.733,0.6858,premium,value,minimal poster,warm neutral,Shop now,short,small dorm space,
T0001,9d45ab6e001e,B2_OpenSource_Only,P001_01,students,Compact Espresso for Busy Students,"Portable, rechargeable, quick & travel-friendly.",Learn more,Student sipping espresso on campus,3,2341,,0.87,0.78,0.65,0.4583,1.0,0.0,0.8413,0.7558,0.7514,warm,productivity,product-centered,high contrast,Learn more,short,busy schedule,
T0001,db9c686a0650,B3_PromptEngineered_AI,P001_01,students,Portable Espresso Maker Lite,"Compact, rechargeable, perfect for students on-the-go.",Compare options,Quickly brew espresso with ease.,4,2400,,0.74,0.92,0.65,0.35,0.78,0.04,0.8413,0.6978,0.6591,aspirational,convenience,product-centered,high contrast,Compare options,short,limited budget,
T0001,dcc2ab7dedf2,Ours_EAI_CO,P001_01,students,Compact & Rechargeable Espresso,"Travel-friendly, quick & fast charging for students.",Learn more,Portable espresso maker for students on-the-go,8,9598,,1.0,0.78,0.92,0.35,1.0,0.0,0.7692,0.836,0.8049,warm,value,minimal poster,clean bright,Learn more,short,limited budget,
T0001,1f4f794ed617,Ours_without_diversity,P001_01,students,Portable Espresso Maker for Students,"Compact, rechargeable, travel-friendly, quick & fast charging.",Compare Options,Explore portable espresso makers for a practical coffee solution.,8,9861,,1.0,0.92,0.82,0.35,1.0,0.0,0.0,0.8248,0.75,practical,family benefit,minimal poster,bold accent,Compare options,medium,limited budget,
T0001,084c201ec95a,Ours_without_factual_penalty,P001_01,students,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly, quick extraction, fast charging - perfect for students on a budget.",Compare options,"Enjoy your favorite espresso anytime, anywhere with our ultimate portable espresso maker.",8,11487,,1.0,0.92,0.8,0.5667,0.78,0.0,0.8571,0.8244,0.8283,aspirational,family benefit,lifestyle scene,high contrast,Compare options,detailed,limited budget,
T0001,e5bc30e89950,Ours_without_iterative_loop,P001_01,students,Compact Espresso for Busy Students,"Portable, rechargeable, quick & travel-friendly.",Compare Options,Explore the Portable Espresso Maker Lite,4,4789,,0.87,0.78,0.77,0.4583,1.0,0.0,0.8571,0.7622,0.7705,premium,family benefit,product-centered,bold accent,Compare options,short,busy schedule,
T0001,e7261aa92032,Ours_without_audience_modeling,P001_01,general_consumers,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly, quick extraction, fast charging.",Shop now,"A sleek, portable espresso maker on a countertop with a travel mug next to it.",8,10672,,1.0,0.92,0.8,0.35,1.0,0.0,0.6667,0.8704,0.8078,aspirational,productivity,minimal poster,high contrast,Shop now,detailed,unclear product value,
T0002,617e835dda77,B0_Template,P001_01,young_professionals,Portable Espresso Maker Lite for everyday use,Discover a consumer electronics option with compact.,Learn more,Clean product photo of Portable Espresso Maker Lite on a simple background,0,1,fixed_template,0.48,0.92,0.55,0.35,1.0,0.0,1.0,0.6302,0.657,,,,,,,,
T0002,567609a0d39b,B1_SingleShot_API,P001_01,young_professionals,Portable Espresso Maker Lite,"Compact, rechargeable, perfect for busy professionals on-the-go.",Try today,Quickly brew premium espresso in minutes.,4,2296,,0.74,0.92,0.65,0.35,0.78,0.04,0.8667,0.7278,0.666,premium,identity,product-centered,warm neutral,Try today,medium,time pressure,
T0002,bd755c442008,B2_OpenSource_Only,P001_01,young_professionals,Compact & Rechargeable Espresso Anywhere,"Quick brews, fast charge. Perfect for busy commuting.",Compare,Two friends enjoying espresso on a train,3,2577,,0.87,0.92,0.82,0.4583,0.78,0.04,0.8667,0.782,0.7418,playful,family benefit,minimal poster,bold accent,Compare options,detailed,commuting,
T0002,8f04dee3e642,B3_PromptEngineered_AI,P001_01,young_professionals,Compact & Rechargeable Espresso Anytime,"Travel-friendly design for quick, convenient coffee on-the-go.",Compare options,Explore portable espresso makers for busy professionals,4,2631,,0.87,0.92,0.77,0.4583,1.0,0.0,0.7778,0.793,0.7914,warm,identity,product-centered,bold accent,Compare options,medium,commuting,
T0002,e6b1442eee46,Ours_EAI_CO,P001_01,young_professionals,Portable Espresso for Busy Professionals,"Compact, rechargeable, travel-friendly, quick extraction, fast charging.",Learn more,"A young professional sipping espresso at a café, surrounded by clean, bright, modern office decor.",8,11047,,1.0,0.92,0.92,0.35,1.0,0.0,0.7692,0.8468,0.829,premium,identity,lifestyle scene,clean bright,Learn more,detailed,work-life balance,
T0002,6f02d8602353,Ours_without_diversity,P001_01,young_professionals,Compact & Rechargeable Espresso for Busy Professionals,"Portable Espresso Maker Lite for quick, travel-friendly coffee.",Learn More,A young professional sipping espresso on a train,8,10361,,0.87,0.92,0.82,0.35,1.0,0.0,0.0,0.791,0.7186,practical,family benefit,minimal poster,bold accent,Learn more,medium,commuting,
T0002,acc11f722c21,Ours_without_factual_penalty,P001_01,young_professionals,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly. Quick extraction, fast charging.",Try today,Experience ultimate convenience for your busy life.,8,10507,,1.0,0.92,0.8,0.5667,0.78,0.0,0.9333,0.8744,0.8424,premium,value,minimal poster,warm neutral,Try today,medium,work-life balance,
T0002,67db7d24f5b4,Ours_without_iterative_loop,P001_01,young_professionals,Compact & Rechargeable Espresso for Busy Professionals,Portable Espresso Maker Lite saves time with quick extraction and fast charging.,Try Today,A young professional sipping espresso from a travel mug while typing on a laptop.,4,5702,,1.0,0.92,0.55,0.4583,1.0,0.0,0.6667,0.7784,0.7754,practical,identity,comparison layout,warm neutral,Try today,medium,time pressure,
