task_id,method,product_id,audience_segment,reward,relevance,clarity,audience_fit,predicted_engagement,headline,body,cta,visual_prompt
T0021,B2_OpenSource_Only,P003_02,students,0.6266,0.48,0.78,0.35,0.6294,Smart Fitness Bottle Plus,"Stay hydrated, stylishly! Compact, durable, and fun.",Shop now,"Compact, stylish bottle with temperature display"
T0022,B3_PromptEngineered_AI,P003_02,young_professionals,0.6301,0.35,0.92,0.35,0.6464,Smart Fitness Bottle Plus,"Stay hydrated, track temps, and stay stylish with our smart bottle.",Shop now,"Warm neutral tones, sleek design for busy professionals"
T0005,B3_PromptEngineered_AI,P001_02,students,0.6325,0.74,0.78,0.4583,0.658,Compact Espresso Anywhere,Perfect for busy students on-the-go.,Shop Now,Portable espresso maker in travel case
T0006,B2_OpenSource_Only,P001_02,young_professionals,0.6362,0.74,0.78,0.4583,0.688,Compact Espresso Anywhere,"Quick, compact, rechargeable - perfect for busy commuting.",Try today,Compare features with other espresso makers.
T0039,B1_SingleShot_API,P005_02,family_users,0.6372,0.48,0.92,0.4583,0.6696,"Family Air Fryer Plus - More Space, Less Oil",Enjoy delicious meals with ease and less oil. Perfect for family cooking.,Compare Options,See how it stacks up against others
T0024,B1_SingleShot_API,P003_02,price_sensitive_consumers,0.6374,0.35,0.78,0.35,0.6406,Smart Fitness Bottle Plus,"Stay hydrated, track temps, stylish & durable.",Learn more,Compare features with other bottles
T0033,B1_SingleShot_API,P005_01,students,0.6448,0.61,0.92,0.4583,0.697,Family Air Fryer Lite,"Perfect for small spaces, cook big meals with less oil.",Learn more,Compare features of the Family Air Fryer Lite in a warm neutral color scheme.
T0019,B2_OpenSource_Only,P003_01,family_users,0.6499,0.61,0.92,0.4583,0.677,"Stay Hydrated, Stay Active",Smart Fitness Bottle Lite keeps you hydrated with reminders and temp display. Perfect for family health.,Compare Options,Family enjoying outdoor activities with Smart Fitness Bottle Lite
T0037,B2_OpenSource_Only,P005_02,students,0.6532,0.61,0.78,0.35,0.6332,Family Air Fryer Plus,"Big meals, less mess, easy peasy!",Learn more,Cook yummy family meals with less oil and effort
T0024,B0_Template,P003_02,price_sensitive_consumers,0.657,0.48,0.92,0.35,0.6302,Smart Fitness Bottle Plus for everyday use,Discover a lifestyle option with hydration reminder.,Learn more,Clean product photo of Smart Fitness Bottle Plus on a simple background
