audience_segment,method,n,mean_reward,mean_relevance,mean_clarity,mean_audience_fit,mean_predicted_engagement
family_users,Ours_EAI_CO,10,0.8147,0.896,0.92,0.5125,0.8262
family_users,B3_PromptEngineered_AI,10,0.7785,0.831,0.92,0.48,0.8132
family_users,B2_OpenSource_Only,10,0.7663,0.857,0.92,0.4908,0.7865
family_users,B1_SingleShot_API,10,0.7389,0.792,0.92,0.4583,0.7596
family_users,B0_Template,10,0.6992,0.558,0.92,0.48,0.6661
price_sensitive_consumers,Ours_EAI_CO,10,0.7908,0.922,0.92,0.4258,0.8233
price_sensitive_consumers,B3_PromptEngineered_AI,10,0.7764,0.896,0.92,0.3825,0.8128
price_sensitive_consumers,B1_SingleShot_API,10,0.758,0.792,0.906,0.4042,0.7821
price_sensitive_consumers,B2_OpenSource_Only,10,0.7503,0.818,0.892,0.3933,0.7806
price_sensitive_consumers,B0_Template,10,0.6758,0.558,0.92,0.35,0.6505
students,Ours_EAI_CO,10,0.8098,0.909,0.892,0.5125,0.8237
students,B1_SingleShot_API,10,0.7648,0.805,0.906,0.48,0.7794
students,B2_OpenSource_Only,10,0.7229,0.753,0.878,0.415,0.7356
students,B3_PromptEngineered_AI,10,0.7169,0.701,0.906,0.48,0.7453
students,B0_Template,10,0.6797,0.558,0.92,0.3717,0.6531
young_professionals,Ours_EAI_CO,10,0.805,0.922,0.92,0.4366,0.8222
young_professionals,B3_PromptEngineered_AI,10,0.7554,0.74,0.92,0.415,0.7683
young_professionals,B2_OpenSource_Only,10,0.7385,0.792,0.892,0.4258,0.7558
young_professionals,B1_SingleShot_API,10,0.7359,0.779,0.92,0.4042,0.7569
young_professionals,B0_Template,10,0.6875,0.558,0.92,0.415,0.6583
