task_id,method,product_id,audience_segment,reward,relevance,clarity,audience_fit,predicted_engagement,headline,body,cta,visual_prompt
T0005,B1_SingleShot_API,P001_02,students,0.8839,1.0,0.92,0.5667,0.8928,Portable Espresso Maker Plus,"Compact, rechargeable, travel-friendly, quick extraction, travel case included.",Compare options,"Elevate your coffee game with a sleek, budget-friendly espresso maker."
T0035,B3_PromptEngineered_AI,P005_01,family_users,0.8768,1.0,0.92,0.5667,0.8928,Family-Friendly Cooking with Less Oil,Enjoy delicious meals in large capacity with easy cleanup and preset menus.,Try Today,A happy family enjoying a meal cooked in the Family Air Fryer Lite on a clean kitchen counter
T0009,Ours_EAI_CO,P002_01,students,0.8622,1.0,0.92,0.5667,0.8808,Ergonomic Study Lamp Lite,"Adjustable arm, eye-care lighting, low power, desk-friendly, space-saving.",Shop now,"A clean, bright desk with the Ergonomic Study Lamp Lite"
T0009,B1_SingleShot_API,P002_01,students,0.8597,1.0,0.92,0.5667,0.8464,Ergonomic Study Lamp Lite for Students,"Brighten your study space with eye-care lighting, adjustable arm, and low power use.",Compare Options,Desk setup with Ergonomic Study Lamp Lite in high contrast colors
T0039,Ours_EAI_CO,P005_02,family_users,0.8596,1.0,0.92,0.5667,0.8728,Family Air Fryer Plus for Easy Cooking,"Large capacity, less oil, easy to clean, preset menus, simple controls.",Compare Options,A happy family enjoying a meal cooked in the Family Air Fryer Plus
T0007,B2_OpenSource_Only,P001_02,family_users,0.8574,1.0,0.92,0.5667,0.8464,Compact & Rechargeable Espresso for Family Adventures,"Quick, travel-friendly espresso with a safety-first design.",Learn More,Warm family enjoying espresso together
T0026,Ours_EAI_CO,P004_01,young_professionals,0.8559,0.87,0.92,0.675,0.852,Stay Focused with Clear Calls,"Noise-Cancelling Earbuds Lite offer long battery life, clear calls, and low-latency mode for commuting convenience.",Try Today,"A young professional wearing Noise-Cancelling Earbuds Lite, listening to music on a train"
T0007,Ours_EAI_CO,P001_02,family_users,0.8484,1.0,0.92,0.4583,0.8598,Portable Espresso for Any Adventure,"Compact, rechargeable, travel-friendly, quick extraction. Includes travel case.",Learn more,A happy family enjoying espresso on a camping trip
T0012,B1_SingleShot_API,P002_01,price_sensitive_consumers,0.8451,1.0,0.92,0.35,0.8668,Ergonomic Study Lamp Lite,"Eye-care lighting, adjustable arm, low power, desk-friendly, space-saving.",Compare options,Bright clean light with adjustable arm
T0037,B1_SingleShot_API,P005_02,students,0.8439,1.0,0.92,0.35,0.8468,Family Air Fryer Plus - Cook Smartly,"Large capacity, less oil, easy to clean, preset menus, simple controls.",Shop Now,"Bright, clean design with family cooking scene"
